Rus,100
Jav,93
C++,81
C#,71
Go,68
C,65
Hkl,45
vb,45
Cry,42
f#,42
Kot,42
JS,41
Sca,35
PHP,34
Clj,33
D,29
Py,27
Lua,22
Rby,18
Grv,17
Prl,14
Dar,13
Eli,13
Swi,12
typ,7
Ur,4
val,2
Erl,1
