C,100
Rus,83.9
vb,74.1
Go,70
Jav,60.1
Cry,56.9
f#,53.3
Hkl,51.6
C++,50.5
C#,46.6
Kot,45.2
Lua,42.8
Sca,33.1
Clj,32
Dar,27.8
JS,25.6
PHP,23.9
D,20.7
Eli,16.1
Grv,14.8
Rby,13.7
Py,13.1
Prl,12.6
Swi,11.5
Ur,2.8
typ,1.3
Erl,0.6
val,0.6



